date,category,region,sales,revenue,month,quarter
2023-01-01,Electronics,North,329,105081.38858537127,2023-01,Q1-2023
2023-01-01,Electronics,South,233,74676.90898127544,2023-01,Q1-2023
2023-01-01,Electronics,East,242,90725.66629985721,2023-01,Q1-2023
2023-01-01,Electronics,West,512,146503.8818480676,2023-01,Q1-2023
2023-01-01,Electronics,Central,284,63078.6424839434,2023-01,Q1-2023
2023-01-01,Clothing,North,112,8878.600286458088,2023-01,Q1-2023
2023-01-01,Clothing,South,189,10807.929751329217,2023-01,Q1-2023
2023-01-01,Clothing,East,150,68879.12714031778,2023-01,Q1-2023
2023-01-01,Clothing,West,235,69564.61204055183,2023-01,Q1-2023
2023-01-01,Clothing,Central,257,96959.00632079507,2023-01,Q1-2023
2023-01-01,Books,North,211,61793.76797034311,2023-01,Q1-2023
2023-01-01,Books,South,126,23098.707773421473,2023-01,Q1-2023
2023-01-01,Books,East,115,26185.11856558573,2023-01,Q1-2023
2023-01-01,Books,West,220,70990.03750332013,2023-01,Q1-2023
2023-01-01,Books,Central,78,15514.520672327986,2023-01,Q1-2023
2023-01-01,Home & Kitchen,North,237,89662.49891975454,2023-01,Q1-2023
2023-01-01,Home & Kitchen,South,217,81326.88774174987,2023-01,Q1-2023
2023-01-01,Home & Kitchen,East,88,5406.597419066169,2023-01,Q1-2023
2023-01-01,Home & Kitchen,West,356,54453.46611175792,2023-01,Q1-2023
2023-01-01,Home & Kitchen,Central,262,122711.35321118936,2023-01,Q1-2023
2023-01-01,Sports,North,211,31290.919513738347,2023-01,Q1-2023
2023-01-01,Sports,South,278,114910.76341102422,2023-01,Q1-2023
2023-01-01,Sports,East,220,75121.32193359487,2023-01,Q1-2023
2023-01-01,Sports,West,414,51375.385440530044,2023-01,Q1-2023
2023-01-01,Sports,Central,251,49055.7711717443,2023-01,Q1-2023
2023-01-02,Electronics,North,212,103308.01069157965,2023-01,Q1-2023
2023-01-02,Electronics,South,112,13063.581269651353,2023-01,Q1-2023
2023-01-02,Electronics,East,112,7265.756938187638,2023-01,Q1-2023
2023-01-02,Electronics,West,301,26001.583051766276,2023-01,Q1-2023
2023-01-02,Electronics,Central,229,76609.11584266835,2023-01,Q1-2023
2023-01-02,Clothing,North,207,57688.71605339794,2023-01,Q1-2023
2023-01-02,Clothing,South,53,4943.810743530385,2023-01,Q1-2023
